season,week,team,off_epa,off_sr,pass_rate,rush_rate,air_yds,qb_epa,qb_hit,sacks,plays,def_epa,def_sr,off_epa_r8,off_sr_r8,def_epa_r8,def_sr_r8,pass_rate_r8,rush_rate_r8,qb_epa_r8
2025,9,SEA,0.33348554,0.6,0.41538462,0.36923078,8.625,0.33348554,1.0,0.0,65,-0.098726004,0.49382716,0.07635496952570975,0.5003236643970013,-0.06924133328720927,0.44442880153656006,0.40590469539165497,0.36674123629927635,0.08798389858566225
2023,1,SF,0.108633615,0.40697673,0.3908046,0.35632184,8.344828,0.108633615,7.0,3.0,87,-0.2756565,0.37974682,,,,,,,
2023,2,SF,0.11496456,0.45945945,0.3783784,0.3918919,9.04,0.11496456,3.0,1.0,74,-0.021205846,0.4787234,,,,,,,
2023,3,SF,0.14452423,0.45360824,0.4387755,0.37755102,4.918919,0.14452423,5.0,2.0,98,-0.09877912,0.37313432,,,,,,,
2023,4,SF,0.40712535,0.60294116,0.3478261,0.42028984,8.619047,0.40712535,1.0,1.0,69,0.07800373,0.44186047,0.1938119400292635,0.48074639588594437,-0.07940943259745836,0.4183662533760071,0.38894614577293396,0.3865136504173279,0.1938119400292635
2023,5,SF,0.13731723,0.5777778,0.32967034,0.43956044,8.44,0.13731723,2.0,1.0,91,-0.34884444,0.36507937,0.1825129970908165,0.5001526772975922,-0.1332964338362217,0.407708877325058,0.377090984582901,0.3971230089664459,0.1825129970908165
2023,6,SF,-0.19279018,0.33734939,0.42168674,0.30120483,9.259259,-0.19279018,6.0,3.0,83,-0.15377297,0.36956522,0.11996246750156085,0.4730187952518463,-0.136709189042449,0.40135160088539124,0.384523610273997,0.38113664587338764,0.11996246750156085
2023,7,SF,0.010579775,0.5,0.47058824,0.27941176,8.0,0.010579775,3.0,1.0,68,0.055182554,0.4117647,0.1043363685852715,0.47687325307301115,-0.10929608291813306,0.4028391880648477,0.3968185569558825,0.3666045197418758,0.1043363685852715
2023,8,SF,-0.025827134,0.5,0.5479452,0.26027396,8.709678,-0.025827134,7.0,2.0,73,0.20976391,0.5641026,0.08806593075860292,0.47976409643888474,-0.06941358326002955,0.4229971133172512,0.41570938751101494,0.3533132001757622,0.08806593075860292
2023,10,SF,0.23483944,0.47297296,0.42666668,0.36,6.571429,0.23483944,7.0,2.0,75,-0.2887586,0.30136988,0.10384165879804641,0.4880136251449585,-0.07105134753510356,0.413199994713068,0.4201921485364437,0.35377297177910805,0.10384165879804641
2023,11,SF,0.13503695,0.5479452,0.43243244,0.35135135,8.04,0.13503695,5.0,4.0,74,-0.05148564,0.4642857,0.10635070700664073,0.4990743435919285,-0.0748363216407597,0.41139528155326843,0.4269489049911499,0.34870540350675583,0.10635070700664073
2023,12,SF,0.119746365,0.47619048,0.4,0.3529412,9.0,0.119746365,6.0,1.0,85,-0.1599354,0.4520548,0.10325347364414483,0.5018971227109432,-0.08248085668310523,0.421260342001915,0.4221019670367241,0.34562917426228523,0.10325347364414483
2023,13,SF,0.4283257,0.6052632,0.41558442,0.33766234,6.5555553,0.4283257,3.0,2.0,77,0.065384775,0.35955057,0.10590351850260049,0.5021873749792576,-0.084058225620538,0.41097160428762436,0.4305717572569847,0.3353007361292839,0.10590351850260049
2023,14,SF,0.12601472,0.43661973,0.43055555,0.31944445,10.074074,0.19504644,7.0,3.0,72,-0.024067322,0.3918919,0.10449070588219911,0.484542615711689,-0.04346108599565923,0.4143231697380543,0.44318240880966187,0.32028623670339584,0.11311967030633241
2023,15,SF,0.3400719,0.5416667,0.38356164,0.34246576,12.5,0.3400719,1.0,0.0,73,0.047882013,0.4021739,0.1710984642850235,0.5100822784006596,-0.01825421373359859,0.41839925572276115,0.4384167715907097,0.3254438526928425,0.1797274287091568
2023,16,SF,-0.14422199,0.41379312,0.6091954,0.1954023,6.6086955,-0.14422199,9.0,4.0,87,0.091835946,0.49411765,0.15174824348650873,0.49930641800165176,-0.013672539731487632,0.42869337275624275,0.4557426683604717,0.3149426691234112,0.16037720791064203
2023,17,SF,0.16804731,0.625,0.38271606,0.45679012,7.035714,0.16804731,1.0,1.0,81,-0.1346333,0.4262295,0.1759825488552451,0.5149314180016518,-0.05672219186089933,0.4114592373371124,0.43508902564644814,0.33950718864798546,0.18461151327937841
2023,18,SF,0.04354315,0.49315068,0.43835616,0.38356164,9.692307,0.04354315,5.0,3.0,73,0.08311329,0.47368422,0.15207051252946258,0.517453633248806,-0.010238204849883914,0.43299853056669235,0.43655021116137505,0.34245239198207855,0.16069947695359588
2023,20,SF,0.08160134,0.4375,0.50617284,0.25925925,7.974359,0.08160134,5.0,1.0,81,0.06992388,0.4556962,0.14539106143638492,0.5036479830741882,0.004937984747812152,0.43192484229803085,0.44576776027679443,0.330940879881382,0.15402002586051822
2023,21,SF,0.16869251,0.45783132,0.42857143,0.33333334,9.129032,0.16869251,5.0,2.0,84,0.11901988,0.50574714,0.1515093301422894,0.5013530887663364,0.03980739484541118,0.4386363849043846,0.4493391886353493,0.32848989963531494,0.1601382945664227
2023,22,SF,0.045690045,0.42857143,0.4489796,0.30612245,8.179487,0.045690045,10.0,1.0,98,0.08562889,0.45833334,0.10367987165227532,0.47926662117242813,0.042337909108027816,0.4509842321276665,0.45351358503103256,0.3245474137365818,0.11230883607640862
2024,1,SF,0.17390165,0.5,0.39325842,0.40449437,9.724138,0.17390165,4.0,3.0,89,-0.002621688,0.484375,0.10966573702171445,0.4871891550719738,0.04501861333847046,0.46254462003707886,0.44885144382715225,0.335178654640913,0.10966573702171445
2024,2,SF,-0.13305676,0.49411765,0.5176471,0.30588236,8.527778,-0.13305676,7.0,6.0,85,-0.053516544,0.5294118,0.05052465619519353,0.4812455251812935,0.0323437936604023,0.47844935581088066,0.46561212465167046,0.33060573041439056,0.05052465619519353
2024,3,SF,0.13695699,0.5176471,0.5,0.3255814,10.933333,0.13695699,3.0,1.0,86,0.15919995,0.5,0.0856720288284123,0.4942272715270519,0.04076429456472397,0.4791846498847008,0.451962698251009,0.3468781188130379,0.0856720288284123
2024,4,SF,-0.021370733,0.43421054,0.4025974,0.4025974,14.148149,-0.021370733,4.0,1.0,77,-0.26197314,0.43209878,0.061994773568585515,0.4703785888850689,0.024846814572811127,0.47991830855607986,0.454447865486145,0.34010402858257294,0.061994773568585515
2024,5,SF,-0.04566399,0.48051947,0.53246754,0.2987013,8.6,-0.04566399,5.0,2.0,77,0.018347412,0.5,0.05084388121031225,0.4687996879220009,0.016751079820096493,0.483207780867815,0.46621178835630417,0.32949648424983025,0.05084388121031225
2024,6,SF,0.2575401,0.5243902,0.39759037,0.37349397,7.428571,0.2575401,4.0,0.0,83,0.02909329,0.45360824,0.07283622748218477,0.4796609655022621,0.011647256324067712,0.4829467870295048,0.45263898000121117,0.34377582371234894,0.07283622748218477
2024,7,SF,-0.112362,0.49333334,0.56,0.28,9.290322,-0.112362,6.0,1.0,75,0.053008176,0.54761904,0.03770441352389753,0.48409871757030487,0.0033957932610064745,0.4881807751953602,0.4690675511956215,0.33710915595293045,0.03770441352389753
2024,8,SF,0.107843414,0.52380955,0.4,0.3882353,7.423077,0.107843414,2.0,2.0,85,0.025084607,0.4691358,0.04547358467243612,0.49600348249077797,-0.004172242013737559,0.4895310811698437,0.4629451036453247,0.34737326204776764,0.04547358467243612
